x_cm,y_cm,z_cm,kineticEnergy_GeV
-14.7829,1.0807,349.9000,4.2248
-13.6822,0.6220,349.9000,4.2237
-16.5577,0.4082,349.9000,4.2227
-12.9159,2.3039,349.9000,4.2125
-13.4149,0.6244,349.9000,4.2175
-15.4045,-1.0862,349.9000,4.2209
-13.8151,0.9460,349.9000,4.2258
-15.4409,-1.0766,349.9000,4.2263
-15.3676,-0.8685,349.9000,4.2236
-14.8421,-0.5696,349.9000,4.2250
-12.9897,-0.3736,349.9000,4.2214
-15.0630,-0.1519,349.9000,4.2249
-15.2452,0.4841,349.9000,4.2226
-14.7340,0.9923,349.9000,4.2220
-15.5735,-0.6446,349.9000,4.2203
-17.0376,-3.3851,349.9000,4.2214
-15.7283,-1.1257,349.9000,4.2247
-14.0861,0.8003,349.9000,4.2242
-16.0741,-0.2594,349.9000,4.2204
-14.1355,-1.1460,349.9000,4.2259
-14.7824,0.3245,349.9000,4.2250
-15.9177,-0.5785,349.9000,4.2189
-15.3285,0.8587,349.9000,4.2235
-14.1312,0.6776,349.9000,4.2269
-15.7168,-0.2144,349.9000,4.2205
-15.1862,-0.1342,349.9000,4.2240
-15.7023,1.1095,349.9000,4.2239
-12.1001,-2.1532,349.9000,4.2201
-14.3076,1.3684,349.9000,4.2162
-15.1978,0.6552,349.9000,4.2248
-12.2969,2.0534,349.9000,4.2244
-16.2507,0.2073,349.9000,4.2242
-13.5870,-0.3614,349.9000,4.2247
-15.4211,-0.9875,349.9000,4.2205
-14.1937,2.7115,349.9000,4.2245
-15.0180,0.9347,349.9000,4.2237
-15.1888,0.6061,349.9000,4.2257
-13.3726,1.1582,349.9000,4.2229
-15.5967,1.1861,349.9000,4.2207
-14.0792,0.3490,349.9000,4.2245
-14.7081,0.9959,349.9000,4.2202
-16.1919,-1.4753,349.9000,4.2236
-14.7798,-0.2345,349.9000,4.2268
-15.0306,-0.7089,349.9000,4.2265
-15.7427,1.3043,349.9000,4.2228
-14.8429,-0.0172,349.9000,4.2218
-15.0886,-1.0772,349.9000,4.2231
-15.4896,0.8396,349.9000,4.2241
-14.0675,1.2124,349.9000,4.2118
-14.0722,0.7919,349.9000,4.2208
-14.0053,0.0094,349.9000,4.2235
-15.0847,1.4269,349.9000,4.2246
-15.1575,2.3020,349.9000,4.2211
-21.5570,8.6575,349.9000,4.2185
-14.4221,-0.6678,349.9000,4.2226
-16.9464,-0.9029,349.9000,4.2244
-11.6535,3.7103,349.9000,4.2231
